ID,NAME OF THE DAM,OTHER NAME,DECIMAL DEGREE LATITUDE,DECIMAL DEGREE LONGITUDE,HEIGHT,LENGTH,RESERVOIR CAPACITY,RESERVOIR AREA,RESERVOIR NAME,RIVER,INTERNATIONAL,YEAR OF COMPLETION,FLOOD CONTROL,IRRIGATION,HYDROELECTRICITY,NAVIGATION,RECREATION,WATER SUPPLY,OTHER USE,COUNTRY,NEAREST TOWN,STATE / PROVINCE,NOTE
2.0063,WARA WARA,,-17.297777,-66.12444444,9.5,,3.425,0.00408,,,,,,,,,,X,,Bolivia,Sacaba 1,,
2.0064,YANA KHAKHA,,-20.324829,-64.78781576,22,280,1.4,25.22,,Yana Khakha,,2006,,X,,,,,,Bolivia,Incahuasi,Chuquisaca,
2.0065,YOTALILLA,,-19.179274,-65.23907245,15,78,0.312,13.4,,Yotalilla,,1989,,X,,,,,,Bolivia,Yotala,Chuquisaca,
2.0066,ZONGO,,-16.279023,-68.12067631,26,,3.2425,14,,Yongo,,,,,X,,,,,Bolivia,La Paz,,
3.0001,4,ENGENHEIRO ARMANDO RIBEIRO GONÇALVES,-5.6689663,-36.88121397,41,,2400,,,Igarapé Saldanha,,,,,,,,,,Brazil,Alta Floresta D'Oeste,Rondônia,
3.0002,14 DE JULHO,,-29.065237,-51.67445873,33,,55.18,0.006,,das Antas,,,,,X,,,,,Brazil,Cotiporã/Bento Gonçalves,Rio Grande do Sul,
3.0003,ABÓBORAS,,-8.0873963,-39.42870867,16,,14.35,0.002,,São Domingos,,,,,,,,,,Brazil,Parnamirim,Pernambuco,
3.0004,ACARAPÉ DO MEIO,EUGÊNIO GUDIN,-4.193551,-38.799322,33,,34.1,0.003,,Acarapé,,,,,,,,,,Brazil,Redenção,Ceará,
3.0005,ACARAÚ-MIRIM,,-3.506325,-40.278711,18,442,52,0.005,,Acaraú,,1907,,,,,,,,Brazil,Santana do Acaraú,Ceará,
3.0006,ADUSTINA,,-10.570458,-38.07057168,20,,13.43,0.001,,Poço,,,,,,,,,,Brazil,Adustina,Bahia,
3.0007,AGRO TRAFO,DIANÓPOLIS,-11.676718,-46.6721186,58,,1700,,,Palmeiras,,,,,,,,,,Brazil,Dianópolis,Tocantins,
3.0008,ÁGUA LIMPA,,-11.691462,-46.70418245,34,,10.31,,,Palmeiras,,,,,,,,,,Brazil,Dianópolis/Novo Jardim,Tocantins,
3.0009,ÁGUA VERMELHA,JOSÉ ERMÍRIO DE MORAES,-19.868868,-50.3447823,63,3920,11025,0.647,,Grande,,1978,,,X,,,,,Brazil,Ouroeste/Iturama,São Paulo/Minas Gerais,
3.001,AIMORÉS,ELIEZER BATISTA,-19.4574,-41.0971,18,565,185.11,0.031,,Doce,,2003,,,X,,,,,Brazil,Aimorés,Minas Gerais,
3.0011,ALDEIA,SAO REIMUNDO NONATO,-9.0203037,-42.69991431,12,,7.235,,,Piauí,,,,,,,,,,Brazil,São Raimundo Nonato,Piauí,
3.0012,ALECRIM,,-24.008496,-47.26191285,55,,29.255,,,Juquiaguassu,,,,,X,,,,,Brazil,Miracatu,São Paulo,
3.0013,ALECRIM,,-5.9677347,-36.6612355,11,,6.25,,,Olho D'Água do Padre,,,,,,,,,,Brazil,Santana do Matos,Rio Grande do Norte,
3.0014,ALTO IRANI,,-27.011768,-52.42747148,41,,14.4,,,Irani,,,,,,,,,,Brazil,Xanxerê/Arvoredo,Santa Catarina,
3.0015,ALTO SUCURIU,,-19.245455,-52.88100221,,,,,,,,,,,,,,,,Brazil,Chapadão Sul,Mato Grosso do Sul,
3.0016,AMERICANA,SALTO GRANDE,-22.698952,-47.28410439,25,228,107,0.002,,Atibaia,,1949,,,X,,,,,Brazil,Americana,São Paulo,
3.0017,ANAGÉ,BARRAGEM DE CARAIBAS,-14.6312,-41.1891,53,,261.54,0.037,,Gavião,,,,,,,,,,Brazil,Anagé,Bahia,
3.0018,ANTONIO DIAS,,-19.646284,-42.85038841,15,,2,,,Piracicaba,,,,,,,,,,Brazil,Antônio Dias,Minas Gerais,
3.0019,APUCARANINHA,,-23.74976,-50.90794,19,,14.9,,,Apucaraninha,,,,,,,,,,Brazil,Londrina/Tamarana,Paraná,
3.002,ARACI,POÇO GRANDE,-11.252436,-39.09823697,27,1071,65.839,0.002,,Pau a Pique,,1965,,,,,,,,Brazil,Araci,Bahia,
3.0021,ARARAS,PAULO SARASATE,-4.2105843,-40.44761927,38,225,891,0.097,,Acaraú,,1958,X,X,X,,,,,Brazil,Varjota/Santa Quitéria,Ceará,
3.0022,ARCOVERDE,,-8.5587958,-36.98801259,31,,16.8,0.003,,Mororó,,,,,,,,,,Brazil,Pedra,Pernambuco,
3.0023,AREAL,,-22.226354,-43.0783,23,,15.5,,,Preto,,,,,,,,,,Brazil,Três Rios,Rio de Janeiro,
3.0024,AREIA,,-11.69787,-46.736744,,,17.472,,,Palmeiras,,,,,,,,,,Brazil,Dianópolis,Tocantins,
3.0025,ARRODEIO,SÃO CRISTOVÃO,-7.8613955,-38.78303959,12,,14.522,0.005,,Ipueiras,,,,,,,,,,Brazil,São José do Belmonte,Pernambuco,
3.0026,ARROIO DURO,,-30.826161,-51.84867119,21,1450,165,5.9,,Duro,,1965,,,,,,,,Brazil,Camaquã,Rio Grande do Sul,
3.0027,ASSIS CHATEAUBRIAND,SALTO MIMOSO,-20.674832,-53.56701601,24,,95.7,0.016,,Pardo,,,,,X,,,,,Brazil,Ribas do Rio Pardo,Mato Grosso do Sul,
3.0028,ATIBAINHA,,-23.174323,-46.39333052,46,410,289,0.003,,Atibainha,,1972,,,,,,,,Brazil,Nazaré Paulista,São Paulo,
3.0029,BACANGA,,-2.5472328,-44.30310782,15,,39.2,,,Bacanga,,,,,,,,,,Brazil,São Luis,Maranhão,
3.003,BAGUARI,,-19.02197,-42.12459,26,,38.07,,,Doce,,,,,,,,,,Brazil,Fernandes Tourinho/Apercata/Governador Valadares,Minas Gerais,
3.0031,BALBINA,,-1.9160108,-59.47420901,31,2920,17533,2.36,,Uatumã,,1989,,,X,,,,,Brazil,Presidente Figueiredo,Amazonas,
3.0032,BANABUIU,ARROJADO LISBOA,-5.3309303,-38.92291132,58,,1700,0.098,,Banabuiú,,,,,,,,,,Brazil,Banabuiú,Ceará,
3.0033,BARIRI,ALVARO DE SOUZA LIMA,-22.15355,-48.75287178,33,856,607,0.063,,Tietê,,1965,,,X,X,,,,Brazil,Bariri,São Paulo,
3.0034,BARRA,,-24.0234,-47.35582436,90,,58,0.002,,Juquiá,,,,,X,,,,,Brazil,Ibiúna/Tapiraí,São Paulo,
3.0035,BARRA BONITA,,-22.519982,-48.53499752,33,480,3160,0.308,Tiete,Tietê,,1963,,X,X,X,,,,Brazil,Barra Bonita,São Paulo,
3.0036,BARRA DO JUÁ,,-8.4483992,-38.07402416,27,,71.474,0.019,,do Navio,,,,,,,,,,Brazil,Floresta,Pernambuco,
3.0037,BARRA GRANDE,,-27.7772,-51.1906,185,665,5000,0.094,,Pelotas,,2006,,,X,,,,,Brazil,Anita Garibaldi,Rio Grande do Sul,
3.0038,BARREIRAS,,-7.09375,-40.587917,39,260,52.8,0.006,,Parnaíba,,1965,,,,,,,,Brazil,Fronteiras,Piauí,
3.0039,BATALHA,,-17.345713,-47.49061614,52,,1781.61,,,São Marcos,,,,,,,,,,Brazil,Paracatu/Cristalina,Minas Gerais/Goiás,
3.004,BELO JARDIM,PEDRO MOURA JUNIOR,-8.3455108,-36.37481575,56,,30,3.9,,Gravata,,,,,,,,,,Brazil,Belo Jardim,Pernambuco,
3.0041,BELO MONTE,,-3.4339156,-51.91032832,,,4.508,,,Xingu,,,,,,,,,,Brazil,Porto de Moz/Senador José Porfírio,Pará,
3.0042,BICO DA PEDRA,,-15.827163,-43.26204842,45,275,705,0.055,,Gorutuba,,1977,,,,,,,,Brazil,Janaúba,Minas Gerais,
